PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33319195","Performance of Glomerular Filtration Rate Estimating Equations Before and After Bariatric Surgery","Chang AR, George J, Levey AS, Coresh J, Grams ME, Inker LA.","Kidney Med. 2020 Oct 17;2(6):699-706.e1. doi: 10.1016/j.xkme.2020.08.008. eCollection 2020 Nov-Dec.","Chang AR","Kidney Med","2020","2020/12/15","PMC7729215","","10.1016/j.xkme.2020.08.008"
"22958191","To attend or not attend? A critical review of the factors impacting on initial appointment attendance from an approach-avoidance perspective","Paige L, Mansell W.","J Ment Health. 2013 Feb;22(1):72-82. doi: 10.3109/09638237.2012.705924. Epub 2012 Sep 7.","Paige L","J Ment Health","2013","2012/09/11","","","10.3109/09638237.2012.705924"
"23595593","Cannabis intoxication inhibits avoidance action tendencies: a field study in the Amsterdam coffee shops","Cousijn J, Snoek RW, Wiers RW.","Psychopharmacology (Berl). 2013 Sep;229(1):167-76. doi: 10.1007/s00213-013-3097-6. Epub 2013 Apr 18.","Cousijn J","Psychopharmacology (Berl)","2013","2013/04/19","","","10.1007/s00213-013-3097-6"
"30689229","Approach bias modification training in bulimia nervosa and binge-eating disorder: A pilot randomized controlled trial","Brockmeyer T, Friederich HC, Küppers C, Chowdhury S, Harms L, Simmonds J, Gordon G, Potterton R, Schmidt U.","Int J Eat Disord. 2019 May;52(5):520-529. doi: 10.1002/eat.23024. Epub 2019 Jan 28.","Brockmeyer T","Int J Eat Disord","2019","2019/01/29","","","10.1002/eat.23024"
"31492567","Frontal Control Over Automatic Emotional Action Tendencies Predicts Acute Stress Responsivity","Kaldewaij R, Koch SBJ, Zhang W, Hashemi MM, Klumpers F, Roelofs K.","Biol Psychiatry Cogn Neurosci Neuroimaging. 2019 Nov;4(11):975-983. doi: 10.1016/j.bpsc.2019.06.011. Epub 2019 Jul 6.","Kaldewaij R","Biol Psychiatry Cogn Neurosci Neuroimaging","2019","2019/09/08","","","10.1016/j.bpsc.2019.06.011"
"31933433","Neural Control of Emotional Actions in Response to Affective Vocalizations","Koch SBJ, Galli A, Volman I, Kaldewaij R, Toni I, Roelofs K.","J Cogn Neurosci. 2020 May;32(5):977-988. doi: 10.1162/jocn_a_01523. Epub 2020 Jan 14.","Koch SBJ","J Cogn Neurosci","2020","2020/01/15","","","10.1162/jocn_a_01523"
"24834057","Mechanisms underlying alcohol-approach action tendencies: the role of emotional primes and drinking motives","Cousijn J, Luijten M, Wiers RW.","Front Psychiatry. 2014 May 6;5:44. doi: 10.3389/fpsyt.2014.00044. eCollection 2014.","Cousijn J","Front Psychiatry","2014","2014/05/17","PMC4018525","","10.3389/fpsyt.2014.00044"
"28344369","Approach-avoidance of facial affect is moderated by the presence of an observer-irrelevant trigger","Renard SB, de Jong PJ, Pijnenborg GHM.","Motiv Emot. 2017;41(2):265-272. doi: 10.1007/s11031-016-9595-1. Epub 2016 Nov 2.","Renard SB","Motiv Emot","2017","2017/03/28","PMC5346424","","10.1007/s11031-016-9595-1"
"25960940","On the Development of Implicit and Control Processes in Relation to Substance Use in Adolescence","Wiers RW, Boelema SR, Nikolaou K, Gladwin TE.","Curr Addict Rep. 2015;2(2):141-155. doi: 10.1007/s40429-015-0053-z.","Wiers RW","Curr Addict Rep","2015","2015/05/12","PMC4412508","","10.1007/s40429-015-0053-z"
"21518067","Reaching out towards cannabis: approach-bias in heavy cannabis users predicts changes in cannabis use","Cousijn J, Goudriaan AE, Wiers RW.","Addiction. 2011 Sep;106(9):1667-74. doi: 10.1111/j.1360-0443.2011.03475.x.","Cousijn J","Addiction","2011","2011/04/27","PMC3178782","","10.1111/j.1360-0443.2011.03475.x"
"19241061","Anxiolytic effects of nicotine in a rodent test of approach-avoidance conflict","Cohen A, Young RW, Velazquez MA, Groysman M, Noorbehesht K, Ben-Shahar OM, Ettenberg A.","Psychopharmacology (Berl). 2009 Jun;204(3):541-9. doi: 10.1007/s00213-009-1486-7. Epub 2009 Feb 25.","Cohen A","Psychopharmacology (Berl)","2009","2009/02/26","PMC2920299","NIHMS224606","10.1007/s00213-009-1486-7"
"25306247","The approach-avoidance task as an online intervention in cigarette smoking: a pilot study","Wittekind CE, Feist A, Schneider BC, Moritz S, Fritzsche A.","J Behav Ther Exp Psychiatry. 2015 Mar;46:115-20. doi: 10.1016/j.jbtep.2014.08.006. Epub 2014 Sep 16.","Wittekind CE","J Behav Ther Exp Psychiatry","2015","2014/10/13","","","10.1016/j.jbtep.2014.08.006"
"22957019","Approach-bias predicts development of cannabis problem severity in heavy cannabis users: results from a prospective FMRI study","Cousijn J, Goudriaan AE, Ridderinkhof KR, van den Brink W, Veltman DJ, Wiers RW.","PLoS One. 2012;7(9):e42394. doi: 10.1371/journal.pone.0042394. Epub 2012 Sep 5.","Cousijn J","PLoS One","2012","2012/09/08","PMC3434213","","10.1371/journal.pone.0042394"
"26892567","Intolerance for approach of ambiguity in social anxiety disorder","Kuckertz JM, Strege MV, Amir N.","Cogn Emot. 2017 Jun;31(4):747-754. doi: 10.1080/02699931.2016.1145105. Epub 2016 Feb 19.","Kuckertz JM","Cogn Emot","2017","2016/02/20","PMC5640967","NIHMS905037","10.1080/02699931.2016.1145105"
"34688729","The predictive value of evaluative bias, attentional bias, approach bias, and self-regulatory control in soft drink consumption","McGreen J, Kemps E, Tiggemann M.","Appetite. 2021 Oct 21:105771. doi: 10.1016/j.appet.2021.105771. Online ahead of print.","McGreen J","Appetite","2021","2021/10/24","","","10.1016/j.appet.2021.105771"
"24904435","Implicit motivational processes underlying smoking in american and dutch adolescents","Larsen H, Kong G, Becker D, Cousijn J, Boendermaker W, Cavallo D, Krishnan-Sarin S, Wiers R.","Front Psychiatry. 2014 May 19;5:51. doi: 10.3389/fpsyt.2014.00051. eCollection 2014.","Larsen H","Front Psychiatry","2014","2014/06/07","PMC4032927","","10.3389/fpsyt.2014.00051"
"27242068","Approaching anger in schizophrenia: What an implicit task tells you that self-report does not","Reddy LF, Green MF, Wynn JK, Rinck M, Horan WP.","Schizophr Res. 2016 Oct;176(2-3):514-519. doi: 10.1016/j.schres.2016.05.018. Epub 2016 May 27.","Reddy LF","Schizophr Res","2016","2016/06/01","","","10.1016/j.schres.2016.05.018"
"33250723","The Modulatory Role of Cortisol in the Regulation of Sexual Behavior in Young Males","Rodríguez-Nieto G, Sack AT, Dewitte M, Emmerling F, Schuhmann T.","Front Behav Neurosci. 2020 Nov 5;14:552567. doi: 10.3389/fnbeh.2020.552567. eCollection 2020.","Rodríguez-Nieto G","Front Behav Neurosci","2020","2020/11/30","PMC7674834","","10.3389/fnbeh.2020.552567"
"26338883","An Enhanced Default Approach Bias Following Amygdala Lesions in Humans","Harrison LA, Hurlemann R, Adolphs R.","Psychol Sci. 2015 Oct;26(10):1543-55. doi: 10.1177/0956797615583804. Epub 2015 Sep 3.","Harrison LA","Psychol Sci","2015","2015/09/05","PMC4607547","NIHMS677957","10.1177/0956797615583804"
"32102685","Promoting smoking abstinence in smokers willing to quit smoking through virtual reality-approach bias retraining: a study protocol for a randomized controlled trial","Machulska A, Eiler TJ, Grünewald A, Brück R, Jahn K, Niehaves B, Ullrich H, Klucken T.","Trials. 2020 Feb 26;21(1):227. doi: 10.1186/s13063-020-4098-5.","Machulska A","Trials","2020","2020/02/28","PMC7045706","","10.1186/s13063-020-4098-5"
"23970862","Training approach-avoidance of smiling faces affects emotional vulnerability in socially anxious individuals","Rinck M, Telli S, Kampmann IL, Woud ML, Kerstholt M, Te Velthuis S, Wittkowski M, Becker ES.","Front Hum Neurosci. 2013 Aug 20;7:481. doi: 10.3389/fnhum.2013.00481. eCollection 2013.","Rinck M","Front Hum Neurosci","2013","2013/08/24","PMC3748377","","10.3389/fnhum.2013.00481"
"30172185","Approach and avoidance: Relations with the thin body ideal in women with disordered eating behavior","Leins J, Waldorf M, Kollei I, Rinck M, Steins-Loeber S.","Psychiatry Res. 2018 Nov;269:286-292. doi: 10.1016/j.psychres.2018.08.029. Epub 2018 Aug 15.","Leins J","Psychiatry Res","2018","2018/09/02","","","10.1016/j.psychres.2018.08.029"
"26200111","Effects of Approach-Avoidance Training on the Extinction and Return of Fear Responses","Krypotos AM, Arnaudova I, Effting M, Kindt M, Beckers T.","PLoS One. 2015 Jul 22;10(7):e0131581. doi: 10.1371/journal.pone.0131581. eCollection 2015.","Krypotos AM","PLoS One","2015","2015/07/23","PMC4511792","","10.1371/journal.pone.0131581"
"34006174","Mindfulness and equanimity moderate approach/avoidance motor responses","Juneau C, Shankland R, Knäuper B, Dambrun M.","Cogn Emot. 2021 Sep;35(6):1085-1098. doi: 10.1080/02699931.2021.1927674. Epub 2021 May 19.","Juneau C","Cogn Emot","2021","2021/05/19","","","10.1080/02699931.2021.1927674"
"28903053","Human Hippocampus Arbitrates Approach-Avoidance Conflict","Bach DR, Guitart-Masip M, Packard PA, Miró J, Falip M, Fuentemilla L, Dolan RJ.","Curr Biol. 2014 Jun 16;24(12):1435. doi: 10.1016/j.cub.2014.05.051. Epub 2014 Jun 16.","Bach DR","Curr Biol","2014","2017/09/14","PMC5628946","","10.1016/j.cub.2014.05.051"
"30899837","Approach bias retraining to augment smoking cessation: Study protocol for a randomized controlled trial","Smits JAJ, Baird SO, Rinck M, Rosenfield D, Beevers CG, Brown RA, Conroy HE, Alavi N, Dutcher CD, Freeman SZ.","Contemp Clin Trials Commun. 2019 Feb 28;14:100340. doi: 10.1016/j.conctc.2019.100340. eCollection 2019 Jun.","Smits JAJ","Contemp Clin Trials Commun","2019","2019/03/23","PMC6406622","","10.1016/j.conctc.2019.100340"
"31785032","Electrophysiological evidence of the differential modulation of approach-related processes toward attractive foods by immersive or mindful viewing conditions","Baquedano C, Lopez V, Cosmelli D, Lutz A.","Eur J Neurosci. 2020 May;51(9):1971-1986. doi: 10.1111/ejn.14632. Epub 2019 Dec 18.","Baquedano C","Eur J Neurosci","2020","2019/12/01","","","10.1111/ejn.14632"
"15019422","Opponent process properties of self-administered cocaine","Ettenberg A.","Neurosci Biobehav Rev. 2004 Jan;27(8):721-8. doi: 10.1016/j.neubiorev.2003.11.009.","Ettenberg A","Neurosci Biobehav Rev","2004","2004/03/17","","","10.1016/j.neubiorev.2003.11.009"
"17520241","Pavlovian conditioning of an approach bias in low-dependent smokers","Thewissen R, Havermans RC, Geschwind N, van den Hout M, Jansen A.","Psychopharmacology (Berl). 2007 Sep;194(1):33-9. doi: 10.1007/s00213-007-0819-7. Epub 2007 May 24.","Thewissen R","Psychopharmacology (Berl)","2007","2007/05/24","","","10.1007/s00213-007-0819-7"
"28863311","Approach-avoidance responses to infant facial expressions in nulliparous women: Associations with early experience and mood induction","De Carli P, Riem MME, Parolin L.","Infant Behav Dev. 2017 Nov;49:104-113. doi: 10.1016/j.infbeh.2017.08.005. Epub 2017 Aug 30.","De Carli P","Infant Behav Dev","2017","2017/09/02","","","10.1016/j.infbeh.2017.08.005"
"28443045","Automatic Approach Tendencies toward High and Low Caloric Food in Restrained Eaters: Influence of Task-Relevance and Mood","Neimeijer RAM, Roefs A, Ostafin BD, de Jong PJ.","Front Psychol. 2017 Apr 11;8:525. doi: 10.3389/fpsyg.2017.00525. eCollection 2017.","Neimeijer RAM","Front Psychol","2017","2017/04/27","PMC5387092","","10.3389/fpsyg.2017.00525"
"31831080","Retraining automatic action tendencies for smoking using mobile phone-based approach-avoidance bias training: A study protocol for a randomized controlled study","Machulska A, Kleinke K, Eiler TJ, Grünewald A, Brück R, Jahn K, Niehaves B, Gethmann CF, Klucken T.","Trials. 2019 Dec 12;20(1):720. doi: 10.1186/s13063-019-3835-0.","Machulska A","Trials","2019","2019/12/14","PMC6909563","","10.1186/s13063-019-3835-0"
"19016889","Relatively strong automatic appetitive action-tendencies in male carriers of the OPRM1 G-allele","Wiers RW, Rinck M, Dictus M, van den Wildenberg E.","Genes Brain Behav. 2009 Feb;8(1):101-6. doi: 10.1111/j.1601-183X.2008.00454.x. Epub 2008 Nov 11.","Wiers RW","Genes Brain Behav","2009","2008/11/20","","","10.1111/j.1601-183X.2008.00454.x"
"24060832","Neural correlates of alcohol-approach bias in alcohol addiction: the spirit is willing but the flesh is weak for spirits","Wiers CE, Stelzel C, Park SQ, Gawron CK, Ludwig VU, Gutwinski S, Heinz A, Lindenmeyer J, Wiers RW, Walter H, Bermpohl F.","Neuropsychopharmacology. 2014 Feb;39(3):688-97. doi: 10.1038/npp.2013.252. Epub 2013 Sep 20.","Wiers CE","Neuropsychopharmacology","2014","2013/09/25","PMC3895246","","10.1038/npp.2013.252"
"29023773","Motive-goal congruence moderates the use of automatic self-regulation","Müller F, Rothermund K.","J Pers. 2018 Aug;86(4):752-766. doi: 10.1111/jopy.12355. Epub 2017 Nov 10.","Müller F","J Pers","2018","2017/10/13","","","10.1111/jopy.12355"
"25639749","Effects of cognitive bias modification training on neural signatures of alcohol approach tendencies in male alcohol-dependent patients","Wiers CE, Ludwig VU, Gladwin TE, Park SQ, Heinz A, Wiers RW, Rinck M, Lindenmeyer J, Walter H, Bermpohl F.","Addict Biol. 2015 Sep;20(5):990-9. doi: 10.1111/adb.12221. Epub 2015 Jan 13.","Wiers CE","Addict Biol","2015","2015/02/03","","","10.1111/adb.12221"
"26186485","Re-training automatic action tendencies to approach cigarettes among adolescent smokers: a pilot study","Kong G, Larsen H, Cavallo DA, Becker D, Cousijn J, Salemink E, Collot D'Escury-Koenigs AL, Morean ME, Wiers RW, Krishnan-Sarin S.","Am J Drug Alcohol Abuse. 2015;41(5):425-32. doi: 10.3109/00952990.2015.1049492.","Kong G","Am J Drug Alcohol Abuse","2015","2015/07/18","PMC4561007","NIHMS704454","10.3109/00952990.2015.1049492"
"28364268","The dopamine D2 receptor mediates approach-avoidance tendencies in smokers","Zlomuzica A, Machulska A, Roberts S, von Glischinski M, Rinck M, Lester KJ, Eley TC, Margraf J.","Eur Arch Psychiatry Clin Neurosci. 2018 Apr;268(3):261-268. doi: 10.1007/s00406-017-0793-y. Epub 2017 Mar 31.","Zlomuzica A","Eur Arch Psychiatry Clin Neurosci","2018","2017/04/02","","","10.1007/s00406-017-0793-y"
"33132858","Threat-Avoidance Tendencies Moderate the Link Between Serotonin Transporter Genetic Variation and Reactive Aggression","Peeters DGA, Lange WG, von Borries AKL, Franke B, Volman I, Homberg JR, Verkes RJ, Roelofs K.","Front Behav Neurosci. 2020 Sep 28;14:562098. doi: 10.3389/fnbeh.2020.562098. eCollection 2020.","Peeters DGA","Front Behav Neurosci","2020","2020/11/02","PMC7549659","","10.3389/fnbeh.2020.562098"
"31476658","The importance of motivational orientation towards the muscular ideal versus the stigmatised burdensome body in male body dissatisfaction","Dondzilo L, Rodgers RF, Turnbull G, Bell J.","Body Image. 2019 Dec;31:81-87. doi: 10.1016/j.bodyim.2019.08.010. Epub 2019 Aug 30.","Dondzilo L","Body Image","2019","2019/09/03","","","10.1016/j.bodyim.2019.08.010"
"29747560","Looking into your eyes: observed pupil size influences approach-avoidance responses","Brambilla M, Biella M, Kret ME.","Cogn Emot. 2019 May;33(3):616-622. doi: 10.1080/02699931.2018.1472554. Epub 2018 May 11.","Brambilla M","Cogn Emot","2019","2018/05/12","","","10.1080/02699931.2018.1472554"
"22494359","Dopamine transporter polymorphisms affect social approach-avoidance tendencies","Enter D, Colzato LS, Roelofs K.","Genes Brain Behav. 2012 Aug;11(6):671-6. doi: 10.1111/j.1601-183X.2012.00791.x. Epub 2012 Apr 27.","Enter D","Genes Brain Behav","2012","2012/04/13","","","10.1111/j.1601-183X.2012.00791.x"
"31081924","A Randomized Trial of Combined tDCS Over Right Inferior Frontal Cortex and Cognitive Bias Modification: Null Effects on Drinking and Alcohol Approach Bias","Claus ED, Klimaj SD, Chavez R, Martinez AD, Clark VP.","Alcohol Clin Exp Res. 2019 Jul;43(7):1591-1599. doi: 10.1111/acer.14111. Epub 2019 May 31.","Claus ED","Alcohol Clin Exp Res","2019","2019/05/14","PMC6602850","NIHMS1029133","10.1111/acer.14111"
"16811308","Oscillatory behavior during approach-avoidance conflict","Hearst E.","J Exp Anal Behav. 1967 Jan;10(1):75-84. doi: 10.1901/jeab.1967.10-75.","Hearst E","J Exp Anal Behav","1967","1967/01/01","PMC1338320","","10.1901/jeab.1967.10-75"
"34180688","When my actions shape your looks: Experience-based properties of approach/avoidance bias the visual representation of others","Rougier M, Schmitz M, Yzerbyt V.","J Pers Soc Psychol. 2021 May;120(5):1146-1174. doi: 10.1037/pspa0000268.","Rougier M","J Pers Soc Psychol","2021","2021/06/28","","","10.1037/pspa0000268"
"32338543","Approach bias modification training to increase physical activity: A pilot randomized controlled trial in healthy volunteers","Preis MA, Zellerhoff M, Brockmeyer T.","J Health Psychol. 2021 Nov;26(13):2470-2486. doi: 10.1177/1359105320913936. Epub 2020 Apr 27.","Preis MA","J Health Psychol","2021","2020/04/28","","","10.1177/1359105320913936"
"26184338","Approach bias and cue reactivity towards food in people with high versus low levels of food craving","Brockmeyer T, Hahn C, Reetz C, Schmidt U, Friederich HC.","Appetite. 2015 Dec;95:197-202. doi: 10.1016/j.appet.2015.07.013. Epub 2015 Jul 13.","Brockmeyer T","Appetite","2015","2015/07/18","","","10.1016/j.appet.2015.07.013"
"33609570","Motivational competition and the paraventricular thalamus","McNally GP.","Neurosci Biobehav Rev. 2021 Jun;125:193-207. doi: 10.1016/j.neubiorev.2021.02.021. Epub 2021 Feb 17.","McNally GP","Neurosci Biobehav Rev","2021","2021/02/20","","","10.1016/j.neubiorev.2021.02.021"
"31951819","D-cycloserine as adjunct to brief computerised CBT for spider fear: Effects on fear, behaviour, and cognitive biases","Kappelmann N, Suesse M, Steudte-Schmiedgen S, Kaldewaij R, Browning M, Michael T, Rinck M, Reinecke A.","J Behav Ther Exp Psychiatry. 2020 Sep;68:101546. doi: 10.1016/j.jbtep.2019.101546. Epub 2019 Dec 25.","Kappelmann N","J Behav Ther Exp Psychiatry","2020","2020/01/18","","","10.1016/j.jbtep.2019.101546"
"28108010","From avoidance to approach: The influence of threat-of-shock on reward-based decision making","Bublatzky F, Alpers GW, Pittig A.","Behav Res Ther. 2017 Sep;96:47-56. doi: 10.1016/j.brat.2017.01.003. Epub 2017 Jan 10.","Bublatzky F","Behav Res Ther","2017","2017/01/22","","","10.1016/j.brat.2017.01.003"
"27670138","The ABBA study - approach bias modification in bulimia nervosa and binge eating disorder: study protocol for a randomised controlled trial","Brockmeyer T, Schmidt U, Friederich HC.","Trials. 2016 Sep 26;17(1):466. doi: 10.1186/s13063-016-1596-6.","Brockmeyer T","Trials","2016","2016/09/28","PMC5037622","","10.1186/s13063-016-1596-6"
"33258530","Elevated costly avoidance in anxiety disorders: Patients show little downregulation of acquired avoidance in face of competing rewards for approach","Pittig A, Boschet JM, Glück VM, Schneider K.","Depress Anxiety. 2021 Mar;38(3):361-371. doi: 10.1002/da.23119. Epub 2020 Dec 1.","Pittig A","Depress Anxiety","2021","2020/12/01","","","10.1002/da.23119"
"23355753","Approach and Avoidance of Emotional Faces in Happy and Sad Mood","Vrijsen JN, van Oostrom I, Speckens A, Becker ES, Rinck M.","Cognit Ther Res. 2013 Feb;37(1):1-6. doi: 10.1007/s10608-012-9436-9. Epub 2012 Feb 8.","Vrijsen JN","Cognit Ther Res","2013","2013/01/29","PMC3555229","","10.1007/s10608-012-9436-9"
"27111213","Approach and avoidance towards aggressive stimuli and its relation to reactive and proactive aggression","Lobbestael J, Cousijn J, Brugman S, Wiers RW.","Psychiatry Res. 2016 Jun 30;240:196-201. doi: 10.1016/j.psychres.2016.04.038. Epub 2016 Apr 22.","Lobbestael J","Psychiatry Res","2016","2016/04/26","","","10.1016/j.psychres.2016.04.038"
"22776440","On the predictive validity of automatically activated approach/avoidance tendencies in abstaining alcohol-dependent patients","Spruyt A, De Houwer J, Tibboel H, Verschuere B, Crombez G, Verbanck P, Hanak C, Brevers D, Noël X.","Drug Alcohol Depend. 2013 Jan 1;127(1-3):81-6. doi: 10.1016/j.drugalcdep.2012.06.019. Epub 2012 Jul 7.","Spruyt A","Drug Alcohol Depend","2013","2012/07/11","","","10.1016/j.drugalcdep.2012.06.019"
"30382877","Protocol for a randomised controlled trial of cognitive bias modification training during inpatient withdrawal from alcohol use disorder","Manning V, Garfield JBB, Campbell SC, Reynolds J, Staiger PK, Lum JAG, Hall K, Wiers RW, Lubman DI, Verdejo-Garcia A.","Trials. 2018 Nov 1;19(1):598. doi: 10.1186/s13063-018-2999-3.","Manning V","Trials","2018","2018/11/02","PMC6211457","","10.1186/s13063-018-2999-3"
"33991643","Comparison of different response devices to assess behavioral tendencies towards chocolate in the approach-avoidance task","Wittekind CE, Blechert J, Schiebel T, Lender A, Kahveci S, Kühn S.","Appetite. 2021 Oct 1;165:105294. doi: 10.1016/j.appet.2021.105294. Epub 2021 May 12.","Wittekind CE","Appetite","2021","2021/05/15","","","10.1016/j.appet.2021.105294"
"28364943","Amygdala Lesions Reduce Anxiety-like Behavior in a Human Benzodiazepine-Sensitive Approach-Avoidance Conflict Test","Korn CW, Vunder J, Miró J, Fuentemilla L, Hurlemann R, Bach DR.","Biol Psychiatry. 2017 Oct 1;82(7):522-531. doi: 10.1016/j.biopsych.2017.01.018. Epub 2017 Feb 10.","Korn CW","Biol Psychiatry","2017","2017/04/03","PMC5598543","","10.1016/j.biopsych.2017.01.018"
"30592971","Neural evidence for automatic value-modulated approach behaviour","Kim H, Anderson BA.","Neuroimage. 2019 Apr 1;189:150-158. doi: 10.1016/j.neuroimage.2018.12.050. Epub 2018 Dec 25.","Kim H","Neuroimage","2019","2018/12/29","","","10.1016/j.neuroimage.2018.12.050"
"28626018","Dissecting the Function of Hippocampal Oscillations in a Human Anxiety Model","Khemka S, Barnes G, Dolan RJ, Bach DR.","J Neurosci. 2017 Jul 19;37(29):6869-6876. doi: 10.1523/JNEUROSCI.1834-16.2017. Epub 2017 Jun 16.","Khemka S","J Neurosci","2017","2017/06/20","PMC5518417","","10.1523/JNEUROSCI.1834-16.2017"
"29679914","A multi-site proof-of-concept investigation of computerized approach-avoidance training in adolescent cannabis users","Jacobus J, Taylor CT, Gray KM, Meredith LR, Porter AM, Li I, Castro N, Squeglia LM.","Drug Alcohol Depend. 2018 Jun 1;187:195-204. doi: 10.1016/j.drugalcdep.2018.03.007. Epub 2018 Apr 11.","Jacobus J","Drug Alcohol Depend","2018","2018/04/22","PMC6053264","NIHMS981203","10.1016/j.drugalcdep.2018.03.007"
"23145772","Prefrontal correlates of approach preferences for alcohol stimuli in alcohol dependence","Ernst LH, Plichta MM, Dresler T, Zesewitz AK, Tupak SV, Haeussinger FB, Fischer M, Polak T, Fallgatter AJ, Ehlis AC.","Addict Biol. 2014 May;19(3):497-508. doi: 10.1111/adb.12005. Epub 2012 Nov 12.","Ernst LH","Addict Biol","2014","2012/11/14","","","10.1111/adb.12005"
"29034489","Modification of Automatic Alcohol-Approach Tendencies in Alcohol-Dependent Patients with Mild or Major Neurocognitive Disorder","Loijen A, Rinck M, Walvoort SJW, Kessels RPC, Becker ES, Egger JIM.","Alcohol Clin Exp Res. 2018 Jan;42(1):153-161. doi: 10.1111/acer.13529. Epub 2017 Nov 24.","Loijen A","Alcohol Clin Exp Res","2018","2017/10/17","","","10.1111/acer.13529"
"31864068","Bifrontal tDCS applied to the dorsolateral prefrontal cortex in heavy drinkers: Influence on reward-triggered approach bias and alcohol consumption","Vanderhasselt MA, Allaert J, De Raedt R, Baeken C, Krebs RM, Herremans S.","Brain Cogn. 2020 Feb;138:105512. doi: 10.1016/j.bandc.2019.105512. Epub 2019 Dec 18.","Vanderhasselt MA","Brain Cogn","2020","2019/12/22","","","10.1016/j.bandc.2019.105512"
"26592533","The Color Red Supports Avoidance Reactions to Unhealthy Food","Rohr M, Kamm F, Koenigstorfer J, Groeppel-Klein A, Wentura D.","Exp Psychol. 2015;62(5):335-45. doi: 10.1027/1618-3169/a000299.","Rohr M","Exp Psychol","2015","2015/11/24","","","10.1027/1618-3169/a000299"
"29408051","Working mechanisms of a general positivity approach-avoidance training: Effects on action tendencies as well as on subjective and physiological stress responses","Ferrari GRA, Möbius M, Becker ES, Spijker J, Rinck M.","J Behav Ther Exp Psychiatry. 2018 Jun;59:134-141. doi: 10.1016/j.jbtep.2018.01.005. Epub 2018 Jan 31.","Ferrari GRA","J Behav Ther Exp Psychiatry","2018","2018/02/07","","","10.1016/j.jbtep.2018.01.005"
"29438844","Top-down expectation effects of food labels on motivation","Wegman J, van Loon I, Smeets PAM, Cools R, Aarts E.","Neuroimage. 2018 Jun;173:13-24. doi: 10.1016/j.neuroimage.2018.02.011. Epub 2018 Feb 10.","Wegman J","Neuroimage","2018","2018/02/14","","","10.1016/j.neuroimage.2018.02.011"
"31862876","Controllability governs the balance between Pavlovian and instrumental action selection","Dorfman HM, Gershman SJ.","Nat Commun. 2019 Dec 20;10(1):5826. doi: 10.1038/s41467-019-13737-7.","Dorfman HM","Nat Commun","2019","2019/12/22","PMC6925275","","10.1038/s41467-019-13737-7"
"30003634","Smartphone-based cognitive bias modification training improves healthy food choice in obesity: A pilot study","Kakoschke N, Hawker C, Castine B, de Courten B, Verdejo-Garcia A.","Eur Eat Disord Rev. 2018 Sep;26(5):526-532. doi: 10.1002/erv.2622. Epub 2018 Jul 12.","Kakoschke N","Eur Eat Disord Rev","2018","2018/07/14","","","10.1002/erv.2622"
"26955359","Assessment of Tobacco-Related Approach and Attentional Biases in Smokers, Cravers, Ex-Smokers, and Non-Smokers","Woud ML, Maas J, Wiers RW, Becker ES, Rinck M.","Front Psychol. 2016 Feb 26;7:172. doi: 10.3389/fpsyg.2016.00172. eCollection 2016.","Woud ML","Front Psychol","2016","2016/03/09","PMC4767899","","10.3389/fpsyg.2016.00172"
"26493973","The ventral hippocampus, but not the dorsal hippocampus is critical for learned approach-avoidance decision making","Schumacher A, Vlassov E, Ito R.","Hippocampus. 2016 Apr;26(4):530-42. doi: 10.1002/hipo.22542. Epub 2015 Oct 23.","Schumacher A","Hippocampus","2016","2015/10/24","","","10.1002/hipo.22542"
"22413007","Differences in spontaneously avoiding or approaching mice reflect differences in CB1-mediated signaling of dorsal striatal transmission","Laricchiuta D, Rossi S, Musella A, De Chiara V, Cutuli D, Centonze D, Petrosini L.","PLoS One. 2012;7(3):e33260. doi: 10.1371/journal.pone.0033260. Epub 2012 Mar 8.","Laricchiuta D","PLoS One","2012","2012/03/14","PMC3297636","","10.1371/journal.pone.0033260"
"33711352","Touchscreen-based assessment of food approach biases: Investigating reliability and item-specific preferences","Kahveci S, van Alebeek H, Berking M, Blechert J.","Appetite. 2021 Aug 1;163:105190. doi: 10.1016/j.appet.2021.105190. Epub 2021 Mar 9.","Kahveci S","Appetite","2021","2021/03/12","","","10.1016/j.appet.2021.105190"
"28532197","Differential effects of approach bias and eating style on unhealthy food consumption in overweight and normal weight women","Kakoschke N, Kemps E, Tiggemann M.","Psychol Health. 2017 Nov;32(11):1371-1385. doi: 10.1080/08870446.2017.1327587. Epub 2017 May 22.","Kakoschke N","Psychol Health","2017","2017/05/24","","","10.1080/08870446.2017.1327587"
"31293469","Social Anxiety and Pro-social Behavior Following Varying Degrees of Rejection: Piloting a New Experimental Paradigm","Weerdmeester J, Lange WG.","Front Psychol. 2019 Jun 21;10:1325. doi: 10.3389/fpsyg.2019.01325. eCollection 2019.","Weerdmeester J","Front Psychol","2019","2019/07/12","PMC6603339","","10.3389/fpsyg.2019.01325"
"34388110","Evaluating the role of Approach-Avoidance Training on action-tendencies in individuals with skin-picking disorder: A preliminary randomized experiment","Mathew AS, Rech MA, Lee HJ.","J Behav Addict. 2021 Aug 13. doi: 10.1556/2006.2021.00031. Online ahead of print.","Mathew AS","J Behav Addict","2021","2021/08/13","","","10.1556/2006.2021.00031"
